Project,Segment,ClassName,CBO,DIT,ILCOM,LOC,LOD,NOM
JDBM,1,TestPhysicalRowId,3,0,0,31,0,2
JDBM,1,SimpleSerializer,0,0,1,23,0.6666666667,2
JDBM,1,TestCachePolicy,5,0,0,287,0.2857142857,6
JDBM,1,AbstractLongKeyMap,4,1,0,167,0.7692307692,12
JDBM,1,ISerializationHandler,1,0,0,51,0,2
JDBM,1,RecordManagerOptions,6,0,0,335,0,0
JDBM,1,Entry,3,1,3,51,0.5,5
JDBM,1,RecordFile,10,1,2,838,0.0740740741,26
JDBM,1,TestBlockIo,1,0,1,55,0,3
JDBM,1,RecordManagerFactory,3,0,0,64,0,2
JDBM,1,ConversionTest,1,0,3,108,0.8,9
JDBM,1,PhysicalRowIdManager,9,0,1,360,0.1,9
JDBM,1,PerformanceTestHarness,2,0,3,129,0.7,9
JDBM,1,TestFreePhysicalRowIdPage,7,0,0,75,0,3
JDBM,1,BlockView,1,0,0,8,0,0
JDBM,1,PerfTest,0,0,0,7,0.6666666667,2
JDBM,1,TestDoubleSerializer,3,1,0,36,1,7
JDBM,1,PageHeader,3,1,1,107,0.0909090909,10
JDBM,1,RecordManager,3,0,0,214,0,18
JDBM,1,TestFloatSerializer,3,1,0,36,1,7
JDBM,1,BTreeBatchInsertPerfTest,2,1,2,31,0.75,3
JDBM,1,TestPageManager,5,0,0,64,0.3333333333,5
JDBM,1,TestSerializers,3,0,1,118,0.8,4
JDBM,1,SoftCache,6,1,1,322,0,10
JDBM,1,Primes,1,0,1,125,0,1
JDBM,1,FileHeader,4,1,1,107,0,10
JDBM,1,FreePhysicalRowIdPage,6,2,1,172,0,11
JDBM,1,CachePolicyListener,3,0,0,34,0,1
JDBM,1,IterationException,1,1,0,48,0,0
JDBM,1,TestCacheRecordManager,5,0,1,172,0.25,3
JDBM,1,MRUEnumeration,1,0,1,26,0.6666666667,2
JDBM,1,RecordHeader,3,0,1,58,0.1666666667,5
JDBM,1,LogicalRowIdManager,7,0,2,125,0,4
JDBM,1,CacheEntry,2,1,6,55,0.9,9
JDBM,1,TestFetchAfterDelete,3,0,0,72,0,2
JDBM,1,PageCursor,1,0,1,52,0,3
JDBM,1,Pair,0,0,1,14,1,1
JDBM,1,AbstractLongCollection,3,1,0,167,0.7333333333,14
JDBM,1,Primes,0,0,1,258,0,7
JDBM,1,TestStringTable,5,0,2,342,0.25,11
JDBM,1,TestMRUNativeLong,5,1,1,161,0.2222222222,8
JDBM,1,Test,1,0,0,18,0.5,1
JDBM,1,FreeLogicalRowIdPageManager,8,0,1,92,0,2
JDBM,1,Test,5,0,0,27,0.6666666667,2
JDBM,1,PageManager,5,0,1,221,0,10
JDBM,1,TestFileHeader,4,0,0,50,0,3
JDBM,1,StreamCorrupted,5,0,0,191,0.4,4
JDBM,1,TestRecordManager,5,0,0,349,0.25,7
JDBM,1,FruitBasket,0,0,1,113,0.75,3
JDBM,1,MRUNativeLong,8,1,1,330,0,13
JDBM,1,BufferedRecord,2,0,2,62,0.1666666667,5
JDBM,1,TestDataPage,4,0,0,46,0,3
JDBM,1,TestUtil,0,0,0,36,0,2
JDBM,1,TestInsertPerf,4,0,1,59,0.6666666667,2
JDBM,1,TestRecordHeader,3,0,0,30,0,2
JDBM,1,WrappedRuntimeException,0,0,1,99,0.6,4
JDBM,1,TestFreePhysicalRowIdPageManager,5,0,0,53,0.3333333333,5
JDBM,1,ValueCollection,1,0,0,47,1,4
JDBM,1,CharacterSerializer,2,1,0,28,0.6666666667,2
JDBM,1,TestRandomAccessFilePerformance,1,0,1,43,1,3
JDBM,1,Bucket,5,0,1,213,0.1111111111,8
JDBM,1,DoubleSerializer,2,1,0,30,0.6666666667,2
JDBM,1,TestFreeLogicalRowIdPageManager,5,0,0,53,0.3333333333,5
JDBM,1,KeySet,3,3,0,54,1,5
JDBM,1,FamousPeople,0,0,1,146,0,3
OO-APT,1,RegisterAnnotationProcessor,1,0,0,29,1,2
OO-APT,1,RegisterProcessorFactory,2,0,0,23,1,3
BAYES,1,Inference,4,0,0,121,0.3333333333,2
BAYES,1,RunOnceControl,2,1,2,106,0,7
BAYES,1,BayesNet,4,0,2,715,0.1212121212,32
BAYES,1,BayesTest,8,0,1,1146,0.425,39
BAYES,1,Bucket,3,0,1,76,0,3
BAYES,1,ProbFunction,3,0,2,1026,0.0303030303,32
BAYES,1,BayesError,0,0,0,23,0,0
BAYES,1,SimControl,0,0,0,39,0.1428571429,6
BAYES,1,BayesNode,5,0,2,715,0.0444444444,44
BAYES,1,Query,9,0,1,312,0.1764705882,16
BAYES,1,BucketTree,6,0,1,142,0,3
BAYES,1,Distribution,3,0,1,462,0.25,23
BAYES,1,Ordering,4,0,2,232,0,7
MIDLET-GAME,2,ExampleGameCanvas,0,0,2,140,1,5
MIDLET-GAME,2,SimpleScrollingLayerManager,1,0,0,27,1,5
DEMO-WIDGET,2,DemoWidgetActivity,1,0,0,12,1,2
DEMO-WIDGET,2,ImageViewActivity,0,0,0,29,1,3
DEMO-WIDGET,2,GridViewActivity,5,0,1,132,0.4285714286,6
DEMO-WIDGET,2,ImageAdapter,2,0,0,39,0,1
DEMO-WIDGET,2,ListStorage,0,0,0,4,1,0
DEMO-WIDGET,2,ListData,0,0,0,4,1,0
DEMO-WIDGET,2,Log,0,0,0,23,1,5
KONAMI,2,KonamiCodeListener,0,0,1,31,1,2
KONAMI,2,Test,1,0,0,32,1,2
KONAMI,2,MyKCL,1,1,0,6,1,1
ENUM-BUILD,2,Target,0,0,0,5,1,2
ENUM-BUILD,2,BuildRunnerTest,4,0,0,28,1,4
ENUM-BUILD,2,BuildRunner,1,0,0,65,1,7
SHELLAC,2,KnowledgeBaseUpdatingASTVisitor,1,0,1,212,0.9411764706,16
SHELLAC,2,ProtectionShellAspect,3,0,1,353,0.3333333333,5
SHELLAC,2,UserToken,0,0,2,44,1,8
SHELLAC,2,IfStatements,2,0,0,43,1,10
SHELLAC,2,SimpleCheck,3,0,0,27,1,4
SHELLAC,2,UserEntry,11,0,1,501,1,47
SHELLAC,2,Door,0,0,2,23,1,4
SHELLAC,2,KnowledgeBase,1,0,4,476,0.5384615385,12
SHELLAC,2,ConfigData,0,0,3,39,1,6
SHELLAC,2,UserEntryTest,3,0,1,46,1,4
SHELLAC,2,Display,0,0,2,40,1,4
SHELLAC,2,HistoryCheck,3,0,0,111,0.75,7
SHELLAC,2,Stats,0,0,5,49,1,8
SHELLAC,2,Activator,0,0,1,45,0.5,3
SHELLAC,2,Latch,0,0,2,23,1,4
SHELLAC,2,StaticAnalyzer,1,0,1,36,0.3333333333,2
SHELLAC,2,Sorter,3,0,0,99,0.875,7
SHELLAC,2,Bio,0,0,2,26,1,4
SHELLAC,2,InstanceVars,3,0,1,39,1,4
REVEG,2,SimpleCharToken,1,1,1,13,1,1
REVEG,2,CharGroupTokenReader,4,1,1,20,1,2
REVEG,2,TokenReader,1,0,0,7,1,2
REVEG,2,RegexToken,0,0,0,5,1,1
REVEG,2,RegexTest,1,0,0,18,1,3
REVEG,2,SimpleCharTokenReader,3,1,0,14,1,2
REVEG,2,ParserTest,3,1,0,16,1,2
REVEG,2,ReadData,1,0,2,21,1,2
REVEG,2,CharGroupToken,1,1,1,13,1,1
REVEG,2,Regex,2,0,2,31,1,2
REVEG,2,RegexTokenizerTest,4,0,1,31,1,4
REVEG,2,CharacterDatapoints,1,0,0,12,1,0
REVEG,2,RegexTokenizer,5,0,1,29,1,1
REVEG,2,Parser,1,0,1,15,1,1
MAVEN-PARENT,2,AppTest,0,0,0,32,0,2
MAVEN-PARENT,2,App,0,0,0,11,0.5,1
REQUESTS-SPY,3,RequestServlet,2,0,1,38,1,2
REQUESTS-SPY,3,SpyServlet,2,0,1,50,1,1
REQUESTS-SPY,3,PMF,0,0,0,10,1,1
REQUESTS-SPY,3,SpiedRequest,0,0,5,60,1,10
OSGI-DEMO,3,LogTracker,0,0,0,64,1,5
OSGI-DEMO,3,Visitor,0,0,0,3,1,1
OSGI-DEMO,3,DBMailboxTracker,2,0,0,24,1,2
OSGI-DEMO,3,EventAdminTracker,0,0,0,15,1,2
OSGI-DEMO,3,FixedMailbox,4,1,1,50,1,4
OSGI-DEMO,3,StringMessage,2,1,4,31,1,4
OSGI-DEMO,3,TwitterMailbox,5,1,2,130,1,15
OSGI-DEMO,3,RowHandler,0,0,0,3,1,1
OSGI-DEMO,3,ReaderMailboxTracker,3,0,0,77,1,2
OSGI-DEMO,3,WelcomeMailboxActivator,2,0,0,31,1,2
OSGI-DEMO,3,WhiteboardHelper,1,0,0,24,1,2
OSGI-DEMO,3,StringMessage,2,1,4,30,1,4
OSGI-DEMO,3,TweetMessage,2,1,3,35,1,4
OSGI-DEMO,3,ReaderFrameActivator,1,0,1,30,1,2
OSGI-DEMO,3,FileMessage,2,1,3,33,1,4
OSGI-DEMO,3,DBMailbox,4,1,1,93,1,6
OSGI-DEMO,3,MailboxPanel,4,0,1,68,1,2
OSGI-DEMO,3,SearchTimeline,3,1,1,37,1,3
OSGI-DEMO,3,Pair,0,0,1,51,1,4
OSGI-DEMO,3,DBMailboxActivator,1,0,1,14,1,2
OSGI-DEMO,3,ITimeline,1,0,0,9,0.6666666667,2
OSGI-DEMO,3,MonitorThread,2,0,0,50,1,1
OSGI-DEMO,3,MailboxException,0,0,0,16,1,0
OSGI-DEMO,3,ReaderFrame,1,0,1,33,1,3
OSGI-DEMO,3,MessageAdder,2,0,0,13,1,1
OSGI-DEMO,3,MessageReaderException,0,0,0,17,1,0
OSGI-DEMO,3,MailboxListener,1,0,0,14,0.5,1
OSGI-DEMO,3,GrowableMailboxActivator,5,0,1,46,1,2
OSGI-DEMO,3,Mailbox,2,0,0,42,0.2,4
OSGI-DEMO,3,FriendsTimeline,3,1,1,59,0.8,4
OSGI-DEMO,3,Message,1,0,0,26,0.2,4
OSGI-DEMO,3,MailboxTableModel,4,1,1,80,1,6
OSGI-DEMO,3,GrowableMailbox,7,2,1,31,1,1
OSGI-DEMO,3,TextFilesMailbox,6,1,2,151,1,10
OSGI-DEMO,3,HsqldbActivator,0,0,1,59,1,2
TUMBLR-WALLPAPER,3,ImageTask,3,0,0,45,0.75,3
TUMBLR-WALLPAPER,3,DownloadBitmapThread,2,0,1,19,0.5,1
TUMBLR-WALLPAPER,3,BitmapUtil,0,0,0,129,0.1666666667,5
TUMBLR-WALLPAPER,3,TumblrWallpaper,3,0,3,638,0.1052631579,18
TUMBLR-WALLPAPER,3,Wallpaper,0,0,0,39,0.75,3
GT5,3,SetResourcePropertyProvider,1,0,0,4,1,1
GT5,3,ResourcefulEndpointFactory,11,0,1,136,1,13
GT6,3,AnnotatedResource,2,1,1,29,0.6666666667,2
GT6,3,AnnotatedGetRPFactory,4,0,0,25,1,3
GT7,3,ResourcefulMethodEndpointAdapter,2,0,2,46,1,6
GT7,3,AnnotatedFutureDestroyable,5,1,1,81,1,6
GT8,3,AnnotatedDestroyableFactory,4,0,0,21,1,3
GT8,3,HashMapResourceHome,0,0,1,19,1,4
GT9,3,ResourceDelegateFactory,0,0,0,15,0.75,3
GT9,3,Destroyable,2,0,0,4,1,1
GT10,3,SpringWSPropertyHolder,1,1,1,23,1,4
GT10,3,AnnotatedDestroyable,4,1,1,41,1,4
GT11,3,FutureDestroyable,2,0,0,4,1,1
GT11,3,ResourceException,0,0,0,16,1,0
GT12,3,XPathEvaluator,0,0,1,62,1,3
GT12,3,CounterService,2,0,0,11,0.5,1
GT13,3,AnnotatedGetResourcePropertyProvider,5,1,1,63,1,4
GT13,3,DelegatingHandler,0,0,1,25,1,1
GT14,3,ResourceUnknownException,1,1,0,23,0,0
GT14,3,AnnotatedFutureDestroyableFactory,4,0,0,21,1,3
GT15,3,BeanProcessor,6,0,1,70,1,3
GT15,3,ResourceUnavailableException,1,1,0,17,1,0
GT16,3,ResourcefulMethodInvoker,3,0,1,65,0.8,4
GT16,3,ResourceEndpointMapping,3,0,2,57,1,6
GT17,3,ResourceStore,0,0,0,10,0,0
GT17,3,Resource,0,0,0,11,0.5,1
GT18,3,SubscribeProvider,0,0,0,2,1,0
GT18,3,TerminateCallable,1,0,1,15,1,1
GT19,3,AnnotatedSetResourcePropertyProvider,2,1,0,17,1,1
GT19,3,ProcessedResource,1,0,2,28,1,4
GT20,3,InvokeMethodRequest,1,0,5,35,1,5
GT20,3,GetMultipleResourcePropertyProvider,3,0,1,23,1,3
GT21,3,GetResourcePropertyProvider,2,0,0,5,1,1
GT21,3,GetCurrentMessageProvider,0,0,0,9,0,0
GT22,3,MethodInvocationInterceptor,1,0,0,4,1,1
GT22,3,CounterServiceImpl,8,1,1,48,1,7
GT23,3,PropertyHolder,0,0,0,6,1,2
GT23,3,WebMethodInvoker,5,0,3,103,1,13
INSTANT-WS-EXAMPLE,3,MonitorPort,1,0,0,23,1,1
INSTANT-WS-EXAMPLE,3,ServiceTest,0,0,0,16,1,1
INSTANT-WS-EXAMPLE,3,RequestCountHandler,0,0,1,83,1,5
INSTANT-WS-EXAMPLE,3,ShopServer,1,0,0,43,0,1
INSTANT-WS-EXAMPLE,3,App,0,0,0,11,0.5,1
BDD-FIT-LIBRARY,3,BddDoFixture,1,0,0,5,1,0
BDD-FIT-LIBRARY,3,BddDoTraverse,0,0,1,25,1,2
LEGISLATOR,3,xml,0,0,0,3,1,0
LEGISLATOR,3,LegislatorAdapter,4,0,1,75,0.5,1
LEGISLATOR,3,Sunlight,2,0,1,143,1,2
LEGISLATOR,3,string,0,0,0,31,1,0
LEGISLATOR,3,menu,0,0,0,5,1,0
LEGISLATOR,3,InputZipCode,9,0,1,210,1,12
LEGISLATOR,3,EditIntegerPreference,0,0,0,32,1,3
LEGISLATOR,3,layout,0,0,0,10,1,0
LEGISLATOR,3,TwitterException,0,0,0,23,1,0
LEGISLATOR,3,MyExpandableListAdapter,1,0,0,17,1,1
LEGISLATOR,3,GovTrackPersonParserHelper,3,0,1,226,0.875,7
LEGISLATOR,3,Panel,0,0,0,47,1,4
LEGISLATOR,3,Settings,2,0,1,38,0.8333333333,5
LEGISLATOR,3,Legislator,13,0,1,507,1,27
LEGISLATOR,3,Twitter,2,0,1,122,0.6,4
LEGISLATOR,3,GovTrackPerson,2,0,1,71,1,1
LEGISLATOR,3,id,0,0,0,61,1,0
LEGISLATOR,3,Committees,7,0,1,88,1,2
LEGISLATOR,3,InnerPanel,0,0,1,48,1,4
LEGISLATOR,3,MyLegislatorDatabaseAdapter,1,0,1,326,0.5,13
LEGISLATOR,3,StreamMethods,0,0,0,29,1,1
LEGISLATOR,3,drawable,0,0,0,25,1,0
LEGISLATOR,3,color,0,0,0,12,1,0
LEGISLATOR,3,GradientedTableRow,2,0,1,39,1,3
LEGISLATOR,3,attr,0,0,0,2,1,0
LEGISLATOR,3,R,0,0,0,151,1,0
LEGISLATOR,3,TermAdapter,3,0,1,70,0.5,1
